filename	acq_time
eeg/sub-10_ses-0execution_task-imagery_run-0_eeg.bdf	2015-07-23T12:03:07.999986Z
eeg/sub-10_ses-0execution_task-imagery_run-1_eeg.bdf	2015-07-23T12:09:18.999985Z
eeg/sub-10_ses-0execution_task-imagery_run-2_eeg.bdf	2015-07-23T12:15:56.999999Z
eeg/sub-10_ses-0execution_task-imagery_run-3_eeg.bdf	2015-07-23T12:22:09.999988Z
eeg/sub-10_ses-0execution_task-imagery_run-4_eeg.bdf	2015-07-23T12:28:08.999992Z
eeg/sub-10_ses-0execution_task-imagery_run-5_eeg.bdf	2015-07-23T12:49:20.999992Z
eeg/sub-10_ses-0execution_task-imagery_run-6_eeg.bdf	2015-07-23T12:55:21.999986Z
eeg/sub-10_ses-0execution_task-imagery_run-7_eeg.bdf	2015-07-23T13:03:11.999991Z
eeg/sub-10_ses-0execution_task-imagery_run-8_eeg.bdf	2015-07-23T13:09:32.999997Z
eeg/sub-10_ses-0execution_task-imagery_run-9_eeg.bdf	2015-07-23T13:16:32.999992Z
